Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-120mm036US_ohne FS ohne SD_ohne Foamglas,0.1374,,,,X,04.05.2016,682,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-200mm037US+ FS-100mm036_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1836,,,,X,08.10.2019,1865,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm035-BP30(19)-200mm042US+FS-100mm036_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1669,,,,X,23.01.2019,1679,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW4-120mm035-100mm028-BP16(19)-060mm035US+FS,0.0489,,,,X,07.12.2015,500,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW4-160mm032-BP25(19)-200mm039US+FS-100mm036_ohne Foamglas+SD,0.1724,,,,X,15.02.2019,1703,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW6-160mm032-BP16(19)-060mm035US+FS_ohne Foamglas mit SD,0.0476,,,,X,13.05.2019,1775,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW6-160mm032-BP16(19)-060mm035US+FS_ohne Foamglas_ohne SD,0.0759,,,,X,09.03.2017,1068,,,light red,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW6-160mm032-BP16(19)-060mm035US_EH40_ohne Foamglas +ohne SD_Streifenfundament(30cm),0.0641,,,,X,20.01.2022,2370,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW6-160mm032-BP16(19)-100mm036US+FS-100mm036_ohne Foamglas + SD,0.1053,,,,X,22.04.2016,660,,,light blue,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW6-160mm032-BP16(19)-100mm038US+FS-100mm038_ohne Foamglas + SD,0.1018,,,,X,18.10.2016,925,,,,,
